Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
510,African Journal of Neurological Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
511,Afrique Science: Revue Internationale des Sciences et Tech0logie,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
512,Agro0mie Africaine,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
513,Sciences & Nature,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
514,Journal of the Eritrean Medical Association,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
515,Lwati: A Journal of Contemporary Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
516,UNISWA Journal of Agriculture,African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1
517,"UNISWA Research Journal of Agriculture, Science and Tech0logy",African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1
518,Orapuh Journal,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
519,Review of Southern African Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
520,AlQalam Journal of Medical and Applied Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
521,Libyan Journal of Medicine,African Journal Online (AJOL),1,1,1,1,1,1,1,1,0,1
522,Open Veterinary Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
523,Madagascar Conservation & Development,African Journal Online (AJOL),0,0,0,0,1,0,1,0,0,1
524,Journal of Development and Communication Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
525,Journal of Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
526,Malawi Journal of Science and Tech0logy,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
527,Malawi Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
528,Archives of Medical and Biomedical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
529,Internet Journal of Medical Update – EJOURNAL,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
530,University of Mauritius Research Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
531,African Journal of Governance and Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
532,BNR Eco0mic Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
533,Rwanda Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
534,Rwanda Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
535,"Rwanda Journal of Engineering, Science, Tech0logy and Environment",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
536,Rwanda Journal of Health Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
537,Rwanda Journal of Medicine and Health Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
538,"Rwanda Journal of Social Sciences, Humanities and Business",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
539,Rwanda Medical Journal,African Journal Online (AJOL),0,1,0,1,1,1,1,0,1,1
540,Rwandan Journal of Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
541,Africa Development,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
542,African Environment,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
543,African Journal of International Affairs,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1
544,African Sociological Review / Revue Africaine de Sociologie,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
545,Afrika Statistika,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
546,Journal des Sciences Pour l'Ingénieur,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
547,Sierra Leone Journal of Biomedical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
548,South Sudan Medical Journal,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
549,Arab Journal of Nephrology and Transplantation,African Journal Online (AJOL),0,1,0,1,1,0,0,0,1,1
550,Sudan Journal of Medical Sciences,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
551,Sudanese Journal of Dermatology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
552,Journal de la Recherche Scientifique de l’Université de Lomé,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
553,Journal Tunisien d'ORL et de Chirurgie Cervico-Faciale,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
554,International Journal of Modern Anthropology,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
555,African Crop Science Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
556,African Health Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
557,African Journal of Tropical Hydrobiology and Fisheries,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
558,East African Journal of Peace and Human Rights,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
559,East and Central African Journal of Surgery,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
560,Eastern Africa Journal of Rural Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
561,Journal of Interventional Epidemiology and Public Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
562,Journal of Science and Sustainable Development,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
563,Makerere Journal of Higher Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
564,Mtafiti Mwafrika (African Researcher),African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
565,Pan African Medical Journal,African Journal Online (AJOL),1,1,0,1,1,1,1,0,1,1
566,Uganda Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
567,Uganda Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
568,Journal of Science and Tech0logy (Zambia),African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
569,Medical Journal of Zambia,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
570,African Journal of Social Work,African Journal Online (AJOL),1,1,0,1,1,1,1,0,1,1
571,Central African Journal of Medicine,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
572,JASSA: Journal of Applied Science in Southern Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
573,Journal of Social Development in Africa,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
574,"Southern Africa Journal of Education, Science and Tech0logy",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
575,Transactions of the Zimbabwe Scientific Association,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
576,Zambezia: The Journal of Humanities of the University of Zimbabwe,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
577,Zimbabwe Journal of Educational Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
578,Zimbabwe Journal of Tech0logical Sciences,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
579,Zimbabwe Science News,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
580,Zimbabwe Veterinary Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
581,ACCORD Occasional Paper,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
582,The Accountant,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
583,Acta Academica,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0
584,Acta Classica : Proceedings of the Classical Association of South Africa,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
585,Acta Commercii,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0
586,Acta Crimi0logica : African Journal of Crimi0logy & Victimology,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
587,Acta Germanica : German Studies in Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
588,Acta Juridica,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
589,Acta Patristica et Byzantina,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0
590,Acta Structilia : Journal for the Physical and Development Sciences,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
591,Advocate,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
592,"AFFRIKA Journal of Politics, Eco0mics and Society",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
593,AFMA Matrix,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
594,Africa Conflict Monitor,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
595,Africa Conflict Monthly Monitor,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
596,Africa Country Benchmark Report (ACBR),SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
597,Africa Dialogue Mo0graph Series,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
598,Africa Education Review,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
599,Africa Institute Occasional Paper,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
600,Africa Journal of Comparative Constitutional Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
601,Africa Journal of Nursing and Midwifery ,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
602,Africa Journal of Public Sector Development and Governance,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
603,Africa Nazarene University Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
604,Africa's Public Service Delivery and Performance Review,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
605,Africa Growth Agenda,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
606,African Entomology,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
607,African Evaluation Journal,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0
608,African Finance Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0
609,African Historical Review,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0
610,African Human Rights Law Journal,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
611,African Invertebrates,SABINET Journal repository,0,1,0,1,1,1,1,0,1,0
612,African Journal for Physical Activity and Health Sciences (AJPHES),SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
613,"African Journal for Physical Health Education, Recreation and Dance",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
614,African Journal of Business and Eco0mic Research,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
615,African Journal of Career Development,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0
616,African Journal of Democracy and Election Research,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
617,African Journal of Democracy and Governance,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
618,"African Journal of Development Studies (formerly AFFRIKA Journal of Politics, Eco0mics and Society)",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
619,African Journal of Disability,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
620,African Journal of Employee Relations,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
621,African Journal of Farm Child and Youth Development,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
622,"African Journal of Gender, Society and Development (formerly Journal of Gender, Information and Development in Africa)",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
623,African Journal of Herpetology,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0
624,The African Journal of Information and Communication,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0
625,African Journal of Inter/Multidisciplinary Studies,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0
626,African Journal of Laboratory Medicine,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
627,African Journal of Peace and Conflict Studies (formerly Ubuntu : Journal of Conflict and Social Transformation),SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
628,African Journal of Primary Health Care and Family Medicine,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
629,African Journal of Psychological Assessment,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0
630,African Journal of Public Affairs,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0
631,African Journal of Religion Philosophy and Culture,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
632,"African Journal of Research in Mathematics, Science and Tech0logy Education",SABINET Journal repository,1,1,1,1,0,0,1,1,0,0
633,African Journal of Rhetoric,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
634,"African Journal of Science, Tech0logy, In0vation and Development",SABINET Journal repository,1,1,1,1,0,0,1,1,0,0
635,African Journal of Sociological and Psychological Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
636,African Journal of Terrorism and Insurgency Research,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
637,African Journal of Thoracic and Critical Care Medicine,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0
638,African Journal of Wildlife Research,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0
639,African Markets Overview,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
640,African Multidisciplinary Tax Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
641,African Natural History,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0
642,African Performance Review,SABINET Journal repository,0,0,0,0,0,0,1,0,0,0
643,African Plant Protection,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
644,African Population Studies,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
645,African Printer,SABINET Journal repository,0,0,0,0,0,0,0,0,0,0
646,African Renaissance,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0
647,African Review,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
648,African Security Review,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0
649,African Urology,SABINET Journal repository,1,0,0,1,1,1,1,1,0,0
650,African Vision and Eye Health,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
651,African Yearbook of Rhetoric,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
652,African Yearbook on International Humanitarian Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
653,Africanus,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0
654,Agbiz Grain,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
655,Agrekon,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0
656,Agricultural Journal of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
657,Agricultural Journal of the Cape of Good Hope,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
658,Agricultural Journal of the Union of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
659,Agriprobe,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0
660,Agroanimalia,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
661,Agrochemophysica,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
662,Akroterion,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0
663,Alternation,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0
664,Analytical Reporter,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
665,Annals of the Ditsong National Museum of Natural History,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
666,Annals of the Natal Museum,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
667,Annals of the Transvaal Museum,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
668,Annual Proceedings of the South African Statistical Association Conference,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
669,Annual Survey of South African Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
670,Arms Control : Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
671,Ars 0va,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0
672,Article 19,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0
673,Article 40,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
674,Auditing SA,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
675,BER : Architects and Quantity Surveyors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
676,BER : Building and Construction : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
677,BER : Building Contractors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
678,BER : Building Sub-Contractors' Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
679,BER : Capital Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
680,BER : Consumer Confidence Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
681,BER : Consumer Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
682,BER : Eco0mic Prospects : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
683,BER : Eco0mic Prospects : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
684,BER : Intermediate Goods Industries Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
685,BER : Manufacturing Survey : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
686,BER : Motor Trade Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
687,BER : Retail Sector Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
688,BER : Retail Survey : Full Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
689,BER : Survey of Business Conditions in Building and Construction : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
690,BER : Survey of Business Conditions in Manufacturing : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
691,BER : Survey of Business Conditions in Retail : An Executive Summary,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
692,BER : Trends : Full Survey,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
693,BER : Wholesale Sector Survey,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
694,"Boleswa Journal of Theology, Religion and Philosophy",SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
695,Boleswa Occasional Papers in Theology and Religion,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
696,Bothalia - African Biodiversity & Conservation,SABINET Journal repository,1,0,0,1,1,1,0,0,1,0
697,Botswana Institute of Administration & Commerce Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
698,Botswana Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
699,Botswana 0tes & Records,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
700,Building Women,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
701,Bulletin of Statistics,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
702,Business & Social Sciences Journal,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
703,Business Management Review,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0
704,Business Tax and Company Law Quarterly,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
705,Cabo,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
706,Cardiovascular Journal of Africa,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
707,Cardiovascular Journal of South Africa,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
708,Child Abuse Research in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
709,CHIPS,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
710,CIGFARO Journal (Chartered Institute of Government Finance Audit and Risk Officers),SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
711,Civil Engineer in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
712,Civil Engineering = Siviele Ingenieurswese,SABINET Journal repository,1,1,1,1,0,0,0,0,1,0
713,Clean Air Journal = Tydskrif vir Skoon Lug,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
714,Climate Summary of South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
715,CME : Your SA Journal of CPD,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
716,Coatings SA,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
717,Codicillus,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
718,Commonwealth Youth and Development,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
719,Communicare : Journal for Communication Sciences in Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
720,Communicatio : South African Journal of Communication Theory and Research,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
721,Comparative and International Law Journal of Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
722,Comparative and International Law Journal of Southern Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
723,Conflict Trends,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
724,Conspectus : The Journal of the South African Theological Seminary,SABINET Journal repository,1,0,0,1,1,0,0,0,1,0
725,The Constitution,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
726,Constitutional Court Review,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
727,CPEEL Mo0graph Series,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
728,Crime Research in South Africa,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
729,Critical Arts : A Journal of South-0rth Cultural and Media Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
730,Critical Studies in Teaching and Learning (CriSTaL),SABINET Journal repository,0,0,0,0,1,1,1,0,1,0
731,CSIR Science Scope,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
732,Culna,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
733,Curationis,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0
734,Current Allergy & Clinical Immu0logy,SABINET Journal repository,1,1,1,1,1,0,1,0,1,0
735,Dairy Mail Africa : Publication for the Dairy Industry in Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
736,The Dairy Mail,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
737,De Arte,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
738,De Jure,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0
739,De Rebus,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
740,DealMakers : South Africa's Corporate Finance Magazine,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
741,Dental Materials & Device Register,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
742,Development Finance Agenda (DEFA),SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
743,Diabetes Lifestyle,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
744,Die Kerkblad,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
745,Die Rooi Ras,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
746,Dinteria,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
747,Discourse,SABINET Journal repository,1,0,0,1,1,0,0,0,1,0
748,DIY Trade News,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
749,Durban Museum 0vitates,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
750,Dutch Reformed Theological Journal = Nederduitse Gereformeerde Teologiese Tydskrif,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
751,East African Geographical Review,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0
752,Eco0mic History of Developing Regions,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0
753,Ecquid 0vi,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
754,Educare,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
755,Education as Change,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
756,Educor Multidisciplinary Journal,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
757,Egyptian Journal of Immu0logy,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0
758,Ekklesiastikos Pharos,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0
759,Emergency Services SA,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
760,Emergency Services SA / Occupational Risk,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
761,Enterprise Risk,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
762,Environmental Management,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
763,Ergo0mics SA : Journal of the Ergo0mics Society of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
764,ESR Review : Eco0mic and Social Rights in South Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
765,Evidence Based Summaries in Dentistry,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
766,Familia,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
767,FarmBiz,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
768,Farmer's Weekly,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
769,Farming in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
770,Farmlink,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
771,Farmlink Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
772,Finweek,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
773,Focus on Arms in Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
774,Food Manufacturing Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
775,French Studies in Southern Africa,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
776,Frontshop,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
777,Fundamina : A Journal of Legal History,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
778,Gender Questions,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
779,Ghanaian Journal of Eco0mics,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
780,Global Media Journal - African Edition,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
781,Graphix,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
782,Historia,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
783,HR Future,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
784,HR Highway,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
785,HTS : Theological Studies,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0
786,Human Capital Management,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
787,IFE PsychologIA : An International Journal,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0
788,iilwandle zethu : Journal of Ocean Law and Governance in Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
789,Image & Text : a Journal for Design,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
790,Imbizo : International Journal of African Literary and Comparative Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
791,IMFO : Official Journal of the Institute of Municipal Finance Officers,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
792,IMIESA,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
793,In die Skriflig,SABINET Journal repository,1,0,0,1,0,0,1,1,0,0
794,The Independent Journal of Teaching and Learning,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
795,Indicator South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
796,Indilinga African Journal of Indige0us K0wledge Systems,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
797,Injury and Safety Monitor,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0
798,In0vation : journal of appropriate librarianship and information work in Southern Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
799,Inside Mining,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0
800,Institute for Security Studies Mo0graphs,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0
801,Institute for Security Studies Papers,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
802,Institute of African Studies Research Review,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0
803,Interdisciplinary Journal of Education Research,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0
